relXmat,0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16
0, 0.0140589,0.00490457,0.00504424,0.00307698,0.00643976,0.00952646,0.00956864,0.00700806,0.00933142,0.00588768,0.00814174,0.00597364,0.00876397,0.00818326,0.00622702,0.00609125,0.00739149
1, 0.0096192,0.0147981,0.00649871,0.0111828,0.00635384,0.00883643,0.00770344,0.00687546,0.00687808,0.00687697,0.00720859,0.0063928,0.00786632,0.00702242,0.00709058,0.00752107,0.00707859
2, 0.00741646,0.00792947,0.0148213,0.00246819,0.00645418,0.00706336,0.010027,0.00679494,0.00604236,0.00609753,0.00725627,0.00588531,0.00677176,0.00790588,0.00798986,0.00673315,0.00777084
3, 0.00936985,0.00792744,0.0105682,0.0,0.00507246,0.00635977,0.00752426,0.00474891,0.00657939,0.00656477,0.00829687,0.00677959,0.00595812,0.00780793,0.00752632,0.00705521,0.00763838
4, 0.00814996,0.00677517,0.00753715,0.00571614,0.00771061,0.00854416,0.00805887,0.00775198,0.00712536,0.00732559,0.00723055,0.00724854,0.00681876,0.00667646,0.00720982,0.00783192,0.0067393
5, 0.00849308,0.00890703,0.00679054,0.00500505,0.00686418,0.00904873,0.00658782,0.00745877,0.00739395,0.00682282,0.0070761,0.00699065,0.00585208,0.00723923,0.0077875,0.00848262,0.0068541
6, 0.00596466,0.00812935,0.00756895,0.00526679,0.00746101,0.00744119,0.00439006,0.0060934,0.00937063,0.00759383,0.00678556,0.00810003,0.00683551,0.00663542,0.00667049,0.00776539,0.0072057
7, 0.00691321,0.00704791,0.00629802,0.0066487,0.00802649,0.00697813,0.00614917,0.00759978,0.00676191,0.00779088,0.00716558,0.0070707,0.00667167,0.0078949,0.00759755,0.00656988,0.00677202
8, 0.00470123,0.00701953,0.00657662,0.0067165,0.00740188,0.00794557,0.00658106,0.00613525,0.00949508,0.00791738,0.00684168,0.0070075,0.00729315,0.0072099,0.00737755,0.00698812,0.00705949
9, 0.00764922,0.00781171,0.00706764,0.00935829,0.00642872,0.00702375,0.00745255,0.00775729,0.00633626,0.00846697,0.00679793,0.00732099,0.0070992,0.00704128,0.00724383,0.00730266,0.00703351
10, 0.00624354,0.00819356,0.00767413,0.00573197,0.00638696,0.00712079,0.00765156,0.00712529,0.00681456,0.00724364,0.00826707,0.00713122,0.00674051,0.00741428,0.00713691,0.00706077,0.00723392
11, 0.00675723,0.00621183,0.00786746,0.00671731,0.00722341,0.00706428,0.00777451,0.00769276,0.00626086,0.00735858,0.00699266,0.00776773,0.0073646,0.00696205,0.00732353,0.00716732,0.0070256
12, 0.0061119,0.00663323,0.00760893,0.00809124,0.00680013,0.00713728,0.00582479,0.00780954,0.00749931,0.00672079,0.00673089,0.00781105,0.00783402,0.00687204,0.0072547,0.00708708,0.00728921
13, 0.00659202,0.00677936,0.00645482,0.00750782,0.00604547,0.00636451,0.00818614,0.00709803,0.0072702,0.0067773,0.00761353,0.00751865,0.00687296,0.00844728,0.00715911,0.00736227,0.0071292
14, 0.00766122,0.00654347,0.00857995,0.00879863,0.00677142,0.00823662,0.00761183,0.00712596,0.00672985,0.00759269,0.00674379,0.00699402,0.00660324,0.00717827,0.00762058,0.00681332,0.00718675
15, 0.00929505,0.00622218,0.005964,0.00410497,0.00734741,0.00703049,0.00593569,0.00703982,0.00633774,0.0069468,0.00740153,0.00702911,0.00797722,0.00775627,0.00710577,0.00807009,0.00709865
16, 0.00699503,0.00763964,0.00757005,0.00683099,0.00721185,0.00776265,0.00655817,0.00706621,0.00698065,0.0070884,0.00672625,0.00701358,0.00714863,0.00720466,0.0072073,0.00733167,0.00745946
